ENSG00000269858	ENSG00000100036
ENSG00000116871	ENSG00000198270
ENSG00000100811	ENSG00000171552
ENSG00000011332	ENSG00000198863
ENSG00000266495	ENSG00000157227
ENSG00000174227	ENSG00000074755
ENSG00000186818	ENSG00000184574
ENSG00000197451	ENSG00000182481
ENSG00000141499	ENSG00000104472
ENSG00000059588	ENSG00000243323
ENSG00000169064	ENSG00000111218
ENSG00000213722	ENSG00000130203
ENSG00000269410	ENSG00000090924
ENSG00000137161	ENSG00000128805
ENSG00000079462	ENSG00000089693
ENSG00000099381	ENSG00000261915
ENSG00000183891	ENSG00000245317
ENSG00000183963	ENSG00000135365
ENSG00000269352	ENSG00000182208
ENSG00000196981	ENSG00000108830
ENSG00000180979	ENSG00000173406
ENSG00000079435	ENSG00000268518
ENSG00000111328	ENSG00000145358
ENSG00000109472	ENSG00000254087
ENSG00000144935	ENSG00000227124
ENSG00000080298	ENSG00000106686
ENSG00000129353	ENSG00000214688
ENSG00000179178	ENSG00000132199
ENSG00000141510	ENSG00000149658
ENSG00000182326	ENSG00000159403
ENSG00000091879	ENSG00000132256
ENSG00000254633	ENSG00000213443
ENSG00000183760	ENSG00000264340
ENSG00000071967	ENSG00000077585
ENSG00000240430	ENSG00000100461
ENSG00000076555	ENSG00000267193
ENSG00000152467	ENSG00000143457
ENSG00000119723	ENSG00000197054
ENSG00000155629	ENSG00000106799
ENSG00000042062	ENSG00000182963
ENSG00000132199	ENSG00000176890
ENSG00000168214	ENSG00000229589
ENSG00000163285	ENSG00000148730
ENSG00000184557	ENSG00000123374
ENSG00000115107	ENSG00000163154
ENSG00000148826	ENSG00000128283
ENSG00000149658	ENSG00000179796
ENSG00000128266	ENSG00000100218
ENSG00000155506	ENSG00000149547
ENSG00000162702	ENSG00000229358
ENSG00000173846	ENSG00000168758
ENSG00000258555	ENSG00000042062
ENSG00000257918	ENSG00000144741
ENSG00000260277	ENSG00000185716
ENSG00000000971	ENSG00000196616
ENSG00000106665	ENSG00000166716
ENSG00000003147	ENSG00000267060
ENSG00000231064	ENSG00000169231
ENSG00000255343	ENSG00000145919
ENSG00000129151	ENSG00000104112
ENSG00000179058	ENSG00000172460
ENSG00000080493	ENSG00000054965
ENSG00000141425	ENSG00000177311
ENSG00000223374	ENSG00000256043
ENSG00000066336	ENSG00000184730
ENSG00000184923	ENSG00000214562
ENSG00000081237	ENSG00000118503
ENSG00000174718	ENSG00000197461
ENSG00000103264	ENSG00000123737
ENSG00000254561	ENSG00000245248
ENSG00000133195	ENSG00000166535
ENSG00000113319	ENSG00000151490
ENSG00000101040	ENSG00000175866
ENSG00000060138	ENSG00000122862
ENSG00000171723	ENSG00000186088
ENSG00000169006	ENSG00000105854
ENSG00000032444	ENSG00000158186
ENSG00000135744	ENSG00000140459
ENSG00000099622	ENSG00000205632
ENSG00000162889	ENSG00000197322
ENSG00000014919	ENSG00000050426
ENSG00000132716	ENSG00000085788
ENSG00000185189	ENSG00000145901
ENSG00000198925	ENSG00000198952
ENSG00000260111	ENSG00000178951
ENSG00000221869	ENSG00000224383
ENSG00000003147	ENSG00000214176
ENSG00000145020	ENSG00000258488
ENSG00000167522	ENSG00000005469
ENSG00000167113	ENSG00000260634
ENSG00000129226	ENSG00000138964
ENSG00000204592	ENSG00000184113
ENSG00000214530	ENSG00000253661
ENSG00000258297	ENSG00000212916
ENSG00000171885	ENSG00000197977
ENSG00000110719	ENSG00000154016
ENSG00000160223	ENSG00000085117
ENSG00000086189	ENSG00000169871
ENSG00000135336	ENSG00000129151
ENSG00000085788	ENSG00000134698
ENSG00000153443	ENSG00000196659
ENSG00000177133	ENSG00000165458
ENSG00000100033	ENSG00000196449
ENSG00000180353	ENSG00000142512
ENSG00000144504	ENSG00000154096
ENSG00000086189	ENSG00000124596
ENSG00000100522	ENSG00000072110
ENSG00000187097	ENSG00000138614
ENSG00000222046	ENSG00000197150
ENSG00000100401	ENSG00000103495
ENSG00000115677	ENSG00000091527
ENSG00000163755	ENSG00000205403
ENSG00000125459	ENSG00000101306
ENSG00000137843	ENSG00000105376
ENSG00000116580	ENSG00000186889
ENSG00000145919	ENSG00000237054
ENSG00000065559	ENSG00000228058
ENSG00000109072	ENSG00000258852
ENSG00000136854	ENSG00000233863
ENSG00000168884	ENSG00000099377
ENSG00000080298	ENSG00000254633
ENSG00000105246	ENSG00000226891
ENSG00000101337	ENSG00000245848
ENSG00000060709	ENSG00000118432
ENSG00000100628	ENSG00000136099
ENSG00000143226	ENSG00000187554
ENSG00000079999	ENSG00000269814
ENSG00000072110	ENSG00000170485
ENSG00000140521	ENSG00000174243
ENSG00000260257	ENSG00000260977
ENSG00000068024	ENSG00000259850
ENSG00000224489	ENSG00000134569
ENSG00000119844	ENSG00000235423
ENSG00000129245	ENSG00000160714
ENSG00000268313	ENSG00000088766
ENSG00000001497	ENSG00000130649
ENSG00000109861	ENSG00000124491
ENSG00000117305	ENSG00000102606
ENSG00000182179	ENSG00000154760
ENSG00000197249	ENSG00000155926
ENSG00000148826	ENSG00000132702
ENSG00000170456	ENSG00000185716
ENSG00000255750	ENSG00000116117
ENSG00000125375	ENSG00000258447
ENSG00000116984	ENSG00000173275
ENSG00000146278	ENSG00000133639
ENSG00000182541	ENSG00000135926
ENSG00000175470	ENSG00000146802
ENSG00000051009	ENSG00000113108
ENSG00000268528	ENSG00000221978
ENSG00000153956	ENSG00000197555
ENSG00000268565	ENSG00000259260
ENSG00000032444	ENSG00000214530
ENSG00000267022	ENSG00000178386
ENSG00000059588	ENSG00000188649
ENSG00000250686	ENSG00000112232
ENSG00000186834	ENSG00000188687
ENSG00000134569	ENSG00000166689
ENSG00000256193	ENSG00000105675
ENSG00000214530	ENSG00000134574
ENSG00000099622	ENSG00000127452
ENSG00000175866	ENSG00000171532
ENSG00000129159	ENSG00000198883
ENSG00000253629	ENSG00000117152
ENSG00000157833	ENSG00000044090
ENSG00000113649	ENSG00000131446
ENSG00000138279	ENSG00000148672
ENSG00000159335	ENSG00000116661
ENSG00000245532	ENSG00000207727
ENSG00000159176	ENSG00000198417
ENSG00000169006	ENSG00000101439
ENSG00000169439	ENSG00000163110
ENSG00000145362	ENSG00000132294
ENSG00000226852	ENSG00000116329
ENSG00000159904	ENSG00000163596
ENSG00000158604	ENSG00000152402
ENSG00000058262	ENSG00000074416
ENSG00000141425	ENSG00000176871
ENSG00000176095	ENSG00000183473
ENSG00000099622	ENSG00000172831
ENSG00000173039	ENSG00000095397
ENSG00000111783	ENSG00000135063
ENSG00000009724	ENSG00000003989
ENSG00000165102	ENSG00000110583
ENSG00000177646	ENSG00000187695
ENSG00000167851	ENSG00000175567
ENSG00000253846	ENSG00000081853
ENSG00000026559	ENSG00000170382
ENSG00000146409	ENSG00000183690
ENSG00000066032	ENSG00000169862
ENSG00000259357	ENSG00000177105
ENSG00000112679	ENSG00000260196
ENSG00000267161	ENSG00000239666
ENSG00000165801	ENSG00000197520
ENSG00000183655	ENSG00000038358
ENSG00000157933	ENSG00000005339
ENSG00000163565	ENSG00000118785
ENSG00000117525	ENSG00000185020
ENSG00000177370	ENSG00000239521
ENSG00000202031	ENSG00000177627
ENSG00000171612	ENSG00000259417
ENSG00000074603	ENSG00000234281
ENSG00000184160	ENSG00000134146
ENSG00000107317	ENSG00000111275
ENSG00000166091	ENSG00000232504
ENSG00000168026	ENSG00000235597
ENSG00000154319	ENSG00000153885
ENSG00000267199	ENSG00000134262
ENSG00000173039	ENSG00000110852
ENSG00000253352	ENSG00000064393
ENSG00000196405	ENSG00000235117
ENSG00000259772	ENSG00000073146
ENSG00000163320	ENSG00000111790
ENSG00000141985	ENSG00000090372
ENSG00000113300	ENSG00000101574
ENSG00000213614	ENSG00000261460
ENSG00000269352	ENSG00000175054
ENSG00000163191	ENSG00000234906
ENSG00000149658	ENSG00000169902
ENSG00000256193	ENSG00000251458
ENSG00000253352	ENSG00000258890
ENSG00000160877	ENSG00000117411
ENSG00000165102	ENSG00000087470
ENSG00000151490	ENSG00000177707
ENSG00000145632	ENSG00000256193
ENSG00000146112	ENSG00000132256
ENSG00000172508	ENSG00000167588
ENSG00000231858	ENSG00000138378
ENSG00000155363	ENSG00000106100
ENSG00000196182	ENSG00000158850
ENSG00000059588	ENSG00000131368
ENSG00000142197	ENSG00000240970
ENSG00000164576	ENSG00000261771
ENSG00000176244	ENSG00000068078
ENSG00000196453	ENSG00000183779
ENSG00000221819	ENSG00000198580
ENSG00000011405	ENSG00000089693
