from	to
155038	83660
55259	55750
5782	54918
548596	1159
548596	160
548596	81542
29107	3725
219988	23512
219988	4790
219988	7145
219988	26271
219988	374887
347733	80777
347733	10993
7184	6432
25960	5705
25960	3638
154807	388962
91746	10988
11189	114794
7050	2108
7050	10570
2065	285908
2065	146517
93587	81619
93587	80308
25978	11235
25978	10393
25978	3146
1660	6626
90362	3688
9240	28986
9240	23517
5716	79685
5716	81847
5716	10671
55799	257364
10653	23061
10653	163590
26050	27248
26050	730534
23513	140710
2554	29102
2554	51701
2554	132332
644739	965
644739	728411
644739	57542
644739	1605
51258	56655
23368	5064
23368	9647
23368	30815
51162	2242
25963	80758
6729	56890
21	203054
8846	163590
10949	5283
54886	3508
10094	55213
6154	6144
6154	326624
6154	440055
2197	441246
8520	60481
653103	81609
653103	23670
653103	23174
653103	54476
10743	9922
84206	91
54918	29128
54918	203427
1159	171546
1159	7407
23512	1736
4790	51065
4790	51161
4790	1998
4790	4089
4790	23011
4790	10126
374887	132946
374887	5582
374887	404217
10993	9630
5705	5037
5705	4040
5705	8661
2108	55198
285908	85451
285908	1119
146517	23469
11235	94032
11235	6534
10393	11238
10393	25801
3688	10627
3688	51088
3688	6788
3688	1105
3688	5188
28986	84342
79685	23217
79685	57117
81847	3303
81847	29081
257364	54497
257364	961
23061	55651
730534	4953
730534	388275
140710	128637
140710	9564
140710	400931
140710	64785
140710	10371
140710	441124
140710	79640
29102	4147
132332	8997
56655	3281
30815	64975
30815	1209
30815	54977
203054	80263
203054	29882
6144	654194
440055	6194
440055	6206
23670	24142
54476	6829
9922	55869
171546	149473
171546	1654
171546	115201
7407	81559
7407	7185
51065	25798
51065	10243
51065	10973
51065	900
10126	56603
5582	57497
5582	11095
5582	8715
404217	762
404217	1397
404217	57574
9630	8829
55198	4281
1119	2617
94032	55845
11238	5277
10627	5159
57117	7570
3303	10390
3303	26973
3303	10314
3303	54707
3303	79414
54497	3815
4953	5000
388275	51619
388275	389674
9564	26003
79640	10097
6206	84333
6206	648343
6206	642250
6206	387644
24142	81605
24142	79873
24142	93627
24142	153642
6829	10898
6829	22907
6829	10273
55869	51071
1654	10014
1654	29980
115201	1844
10243	285268
10243	201134
900	8451
56603	4817
57497	5798
57497	29906
57497	93099
8715	129049
762	131408
762	25861
7570	2037
7570	10274
7570	56647
26973	64062
26973	150275
26973	56126
26973	55164
26973	1810
26973	3301
26973	494470
3815	54872
10097	23177
387644	7275
79873	57567
79873	1763
79873	55486
22907	79133
29980	9988
285268	403
285268	150274
285268	730994
285268	643452
285268	220382
285268	5725
201134	9590
4817	7551
5798	5195
5798	112703
5798	576
29906	51663
29906	9921
29906	4191
129049	4216
25861	57498
25861	1620
25861	57050
25861	730525
25861	28514
25861	84529
150275	54880
150275	6477
150275	731950
3301	56061
3301	55317
3301	149448
3301	5093
3301	6388
3301	7323
3301	3312
3301	7873
494470	56675
494470	57862
23177	8745
23177	8493
57567	124961
55486	55218
9988	90799
150274	9516
7551	11285
576	55577
576	388662
9921	10423
1620	24141
