alias_previous_symbol	index
CT82	724
p82	725
hAKAP82	725
AKAP82	725
Fsc1	725
HI	725
CT99	725
AKAP75	726
AKAP79	726
KIAA0311	727
mAKAP	727
AKAP100	727
PRKA6	727
ADAP6	727
AKAP18	728
AKAP15	728
AKAP95	729
DKFZp586B1222	729
NAKAP95	730
HAP95	730
KIAA0803	732
AKAP350	732
AKAP450	732
CG-NAP	732
YOTIAO	732
HYPERION	732
PRKA9	732
MU-RMS-40.16A	732
PPP1R45	732
LQT11	732
D-AKAP2	733
PRKA10	733
MGC9414	733
KIAA0629	734
AKAP220	734
PRKA11	734
FLJ11304	734
DKFZp781I12161	734
PPP1R44	734
AKAP250	735
SSeCKS	735
LBC	736
Ht31	736
BRX	736
AKAP-Lbc	736
c-lbc	736
PROTO-LB	736
HA-3	736
ARHGEF13	736
AKAP28	737
CXYorf3	738
SFRS17A	738
XE7	738
XE7Y	738
DXYS155E	738
MGC39904	738
721P	738
CCDC133	738
AKAP16B	739
AKAP16BP	739
C11orf17	740
BCA3	740
C1orf108	741
FLJ12666	741
C6orf166	744
FLJ10342	744
dJ486L4.2	744
KIAA1968	746
C1orf62	747
MGC26989	747
ALR	748
DD3	748
ALDR1	749
AR	749
ALDRL1	750
ALDRP	751
ALDRL3	752
ALDRL4	753
AKR1B1P	754
AKR1B11	758
AKR1B12	758
ARL-1	758
HIS	758
ARL1	758
HSI	758
ALDRLn	758
DDH1	762
DDH	762
MBAB	762
DD1	762
HAKRC	762
DDH2	763
TDD	763
DD	763
BABP	763
DD2	763
HAKRD	763
MCDR2	763
HSD17B5	764
KIAA0119	764
DDX	764
HAKRB	764
PGFS	764
CHDR	765
DD4	765
HAKRA	765
C11	765
3-alpha-HSD	765
CDR	765
MGC22581	765
TAKR	767
AKR1CL1	769
SRD5B1	770
SRD5BP1	771
AKR1D1P	771
AKRDC1	772
AKR1CL2	772
MGC10612	772
AFAR	773
AFARP1	774
AFAR3	777
RAC	778
PKB	778
PRKBA	778
AKT	778
RAC-alpha	778
PRAS40	779
MGC2865	779
Lobe	779
PKBβ	780
PKBG	781
RAC-gamma	781
PRKBG	781
FTS	783
FLJ13258	783
ALADH	784
PBGS	784
ALAS3	785
ALAS	785
ASB	786
CD166	788
MEMD	788
PUMB1	789
ALDH1	789
RALDH1	789
RALDH2	790
ALDH6	791
RALDH3	791
ALDH5	792
ALDHX	792
FTHFD	793
10-fTHF	793
FDH	793
FLJ38508	796
mtFDH	796
ALDH3	798
SLS	799
ALDH10	799
FALDH	799
ALDH7	800
ALDH8	801
ALDH4	802
P5CDh	802
SSADH	803
SSDH	803
MMSDH	804
ATQ1	805
EPD	805
PDE	805
ATQL1	806
ATQL2	807
ATQL3	808
ATQL4	809
ALDH12	810
ALDH7	811
ALDH4	811
ALDH9	811
E3	811
MGC10204	812
GSAS	813
PYCS	813
SPG9	813
P5CS	813
HMT-1	819
HMAT1	819
CDG1K	819
Mat-1	819
ALG1L1	820
CDGIi	834
FLJ14511	834
hALPG2	834
NET38	834
CDG1I	834
NOT56L	835
Not56	835
CDGS4	835
D16Ertd36e	835
bA421P11.2	837
MGC2840	839
DIBD1	840
FLJ14751	842
DIE2	842
ALG10A	842
KCR1	843
KIAA0266	844
CDG1P	844
ECM39	845
CDG1G	845
GLT28D1	846
CXorf45	846
MDS031	846
YGL047W	846
FLJ23018	846
TDRD13	846
CDG1S	846
MGC19780	848
CD246	850
FAM150A	851
UNQ9433	851
AUGB	851
FAM150B	852
AUGA	852
ALKBH	853
hABH	853
alkB	853
ABH	853
MGC90512	854
ABH2	854
DEPC-1	855
FLJ20013	857
OFOXD1	858
FLJ20308	858
MGC15677	859
SPATA11	860
MGC10974	860
MGC10235	861
TRM9	861
TRMT9A	861
ALC	862
KIAA0328	863
ALMS1L	865
ALMS1P	865
5-LOX	866
FLAP	867
12S-LOX	868
12R-LOX	870
ALOX12P	871
15-LOX-1	873
15-LOX-2	874
ALOX15P	875
eLOX3	877
E-LOX	877
ALPPL2	879
GCAP	879
IAP	880
Lak	881
FLJ22670	881
KIAA1527	881
HAK	882
MAK	883
KIAA1330	883
Midori	883
HOPS	884
TNSALP	884
TNALP	884
TNAP	884
PALP	885
PLAP	885
ALS2CR6	887
FLJ36525	888
RN49018	888
DKFZp686I0110	888
CART1	889
FND	890
PFM2	891
FPP	891
PFM	891
KIAA1788	891
THOC4	892
ALY	892
BEF	892
ALY/REF	892
REF	892
RACE	893
P504S	893
ITI	895
ITIL	895
UTI	895
HCP	895
EDC1	895
HI30	895
IATIL	895
ITILC	895
FLJ20294	896
KIAA1736	896
WDR94	896
DCAF3	896
SAMDC	897
AMD2	899
AMD	899
AMDP1	899
AMDPX	899
AMDPY	899
MGC35366	902
CGI-14	903
AMG	904
AIH1	904
AMGL	905
FAM123B	906
RP11-403E24.2	906
FLJ39827	906
WTX	906
FAM123A	907
FLJ25477	907
FAM123C	908
FLJ38377	908
RNF45	909
gp78	909
MIS	910
MISR2	911
MISRII	911
AMIGO	912
KIAA1163	912
ALI1	913
DEGA	913
MGC4268	918
amnionless	920
KIAA1071	922
JEAP	923
LCCP	924
MAD	925
MADA	925
SPG63	926
GCST	929
NKH	929
UNQ689	930
RSTI689	930
AMY1	931
AMY1	932
AMY1	933
AMY2	934
AMY2	935
AMY2P	936
KIAA1950	937
FLJ32065	939
MCPR	942
TSG24	942
APC1	942
APC2	949
KIAA1406	949
APC4	950
APC5	951
APC7	952
APC10	953
DOC1	953
DKFZP564L0562	953
ANAPC10P	954
HSPC214	955
APC11	955
Apc11p	955
MGC882	955
SWM1	956
APC13	956
DKFZP566D193	956
C11orf51	957
HSPC020	957
DKFZP564M082	957
APC15	957
C10orf104	960
bA570G20.3	960
FLJ33728	960
APC16	960
CENP-27	960
RNASE5	962
RAA1	962
KIAA0759	963
Ccr4e	963
KIAA0759L	964
FLJ12793	964
Ccr4d	964
KIAA0003	965
Ang1	965
Ang2	966
ANGPT3	968
ANG3	968
AngY	968
ARP1	968
ARP2	969
HARP	969
ANGPT5	970
pp1158	971
PGAR	971
ARP4	971
HFARP	971
FIAF	971
NL2	971
ARP5	973
AGF	973
CDT6	974
AngX	974
C19orf80	975
TD26	975
RIFL	975
ANK	977
SPH1	977
LQT4	978
FAP87	978
